title,author,length
38. Project Hail Mary,By: Andy Weir,Length: 16 hrs and 10 mins
39. A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins
40. The Light We Carry,By: Michelle Obama,Length: 9 hrs and 59 mins
41. The Mountain Is You,By: Brianna Wiest,Length: 5 hrs and 44 mins
"42. Harry Potter and the Goblet of Fire, Book 4",By: J.K. Rowling,Length: 20 hrs and 36 mins
43. Dark Angel,By: John Sandford,Length: 11 hrs and 7 mins
44. Yours Truly,By: Abby Jimenez,Length: 11 hrs and 23 mins
45. The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 48 mins
"46. Harry Potter and the Half-Blood Prince, Book 6",By: J.K. Rowling,Length: 18 hrs and 32 mins
"47. Harry Potter and the Order of the Phoenix, Book 5",By: J.K. Rowling,Length: 26 hrs and 28 mins
48. The Four Agreements,By: don Miguel Ruiz,Length: 2 hrs and 31 mins
49. Finding Me,By: Viola Davis,Length: 9 hrs and 15 mins
"50. Harry Potter and the Deathly Hallows, Book 7",By: J.K. Rowling,Length: 21 hrs and 36 mins
51. Romantic Comedy (Reese's Book Club),By: Curtis Sittenfeld,Length: 9 hrs and 5 mins
52. Unfu*k Yourself,By: Gary John Bishop,Length: 3 hrs and 24 mins
53. Things We Never Got Over,By: Lucy Score,Length: 16 hrs and 1 min
54. Mark of the Fool 3,By: J.M. Clarke,Length: 22 hrs and 51 mins
55. Homecoming,By: Kate Morton,Length: 17 hrs and 38 mins
56. 8 Rules of Love,By: Jay Shetty,Length: 10 hrs and 11 mins
57. The Fellowship of the Ring,By: J. R. R. Tolkien,Length: 22 hrs and 38 mins
58. The Chronicles of Narnia Complete Audio Collection,By: C. S. Lewis,Length: 33 hrs and 45 mins
59. A Court of Wings and Ruin,By: Sarah J. Maas,Length: 25 hrs and 9 mins
60. The Return of the Gods,By: Jonathan Cahn,Length: 8 hrs and 34 mins
61. Never Split the Difference,By: Chris Voss,Length: 8 hrs and 7 mins
62. Extreme Ownership,"By: Jocko Willink, Leif Babin",Length: 9 hrs and 33 mins
63. Think and Grow Rich,By: Napoleon Hill,Length: 9 hrs and 35 mins
64. Wrong Place Wrong Time,By: Gillian McAllister,Length: 10 hrs and 7 mins
65. Haunting Adeline,By: H. D. Carlton,Length: 15 hrs and 44 mins
66. All My Knotted-Up Life,By: Beth Moore,Length: 8 hrs and 29 mins
67. The Two Towers,By: J. R. R. Tolkien,Length: 20 hrs and 46 mins
68. The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins
69. The Sandman: Act III,"By: Neil Gaiman, Dirk Maggs",Length: 11 hrs and 31 mins
70. A Court of Silver Flames,By: Sarah J. Maas,Length: 26 hrs and 5 mins
71. The Return of the King,By: J. R. R. Tolkien,Length: 21 hrs and 52 mins
72. The Silent Patient,By: Alex Michaelides,Length: 8 hrs and 51 mins
73. $100M Offers,By: Alex Hormozi,Length: 3 hrs and 48 mins
74. Rich Dad Poor Dad: 20th Anniversary Edition,By: Robert T. Kiyosaki,Length: 8 hrs and 22 mins
75. The Serpent and the Wings of Night,By: Carissa Broadbent,Length: 15 hrs and 36 mins
76. Tiny Beautiful Things (10th Anniversary Edition),By: Cheryl Strayed,Length: 10 hrs and 41 mins
77. Local Woman Missing,By: Mary Kubica,Length: 11 hrs and 40 mins
78. Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
79. Horse,By: Geraldine Brooks,Length: 14 hrs and 6 mins
80. The Wisdom of the Bullfrog,By: Admiral William H. McRaven,Length: 3 hrs and 44 mins
81. The Boys from Biloxi,By: John Grisham,Length: 17 hrs and 22 mins
82. A Soul of Ash and Blood,By: Jennifer L. Armentrout,Length: 24 hrs
83. Attached,"By: Amir Levine, Rachel Heller",Length: 7 hrs and 4 mins
84. Ugly Love,By: Colleen Hoover,Length: 9 hrs and 14 mins
85. Where the Crawdads Sing,By: Delia Owens,Length: 12 hrs and 12 mins
86. Star Wars: Heir to the Empire,By: Timothy Zahn,Length: 13 hrs and 9 mins
87. The Nightingale,By: Kristin Hannah,Length: 17 hrs and 19 mins
88. The Lost City of Z,By: David Grann,Length: 10 hrs and 4 mins
89. Tower of the Noobs,By: Ryan Rimmel,Length: 16 hrs and 34 mins
90. The Captain,By: Will Wight,Length: 11 hrs and 24 mins
91. How to Talk to Anyone,By: Leil Lowndes,Length: 8 hrs and 59 mins
92. The Untethered Soul,By: Michael A. Singer,Length: 6 hrs and 11 mins
93. House of Earth and Blood,By: Sarah J. Maas,Length: 27 hrs and 50 mins
94. The 7 Habits of Highly Effective People,By: Stephen R. Covey,Length: 13 hrs and 4 mins
95. Throne of Glass,By: Sarah J. Maas,Length: 13 hrs and 3 mins
"96. Friends, Lovers, and the Big Terrible Thing",By: Matthew Perry,Length: 8 hrs and 49 mins
97. Born a Crime,By: Trevor Noah,Length: 8 hrs and 44 mins
98. Atlas of the Heart,By: Brené Brown,Length: 8 hrs and 29 mins
99. A Flicker in the Dark,By: Stacy Willingham,Length: 11 hrs and 6 mins
100. Paris,By: Paris Hilton,Length: 8 hrs and 22 mins
